system time,RPM
630799,0
631325,0
631851,-4.07
632378,-12.21
632906,960.29
633434,968.42
633962,976.56
634490,960.29
635018,976.56
635546,968.42
636074,976.56
636602,956.22
637130,972.49
637658,964.36
638186,976.56
638714,960.29
639242,976.56
639770,976.56
640298,968.42
640826,972.49
641354,976.56
641882,948.08
642410,984.7
642938,976.56
643466,911.46
643994,602.21
644522,256.35
645050,0
645576,0
646102,0
646628,0
647154,0
647680,-4.07
648207,-12.21
648735,0
649261,0
649787,-12.21
650315,0
650841,0
651367,12.21
651894,0
652420,-12.21
652948,-12.21
653476,0
654002,-16.28
654530,0
655056,-4.07
655583,-8.14
656110,0
656636,748.7
657164,764.97
657692,781.25
658220,764.97
658748,781.25
659276,773.11
659804,769.04
660332,797.53
660860,760.9
661388,756.84
661916,781.25
662444,781.25
662972,756.84
663500,781.25
664028,756.84
664556,777.18
665084,781.25
665612,760.9
666140,781.25
666668,773.11
667196,801.6
667724,781.25
668252,671.39
668780,651.04
669308,651.04
669836,622.56
670364,606.28
670892,585.94
671420,553.39
671948,553.39
672476,520.83
673004,496.42
673532,496.42
674060,504.56
674588,459.8
675116,447.59
675644,451.66
676172,423.18
676700,402.83
677228,394.69
677756,366.21
678284,366.21
678812,341.8
679340,325.52
679868,313.31
680396,309.24
680924,284.83
681452,292.97
681980,260.42
682508,244.14
683036,231.93
683564,219.73
684092,227.86
684620,195.31
685148,179.04
685676,187.17
686204,150.55
686732,142.42
687260,146.48
687788,130.21
688316,105.79
688844,113.93
689372,89.52
689899,81.38
690426,61.04
690953,52.9
691480,52.9
692007,32.55
692534,20.35
693061,20.35
693588,16.28
694115,0
694641,0
695167,0
695693,0
696219,8.14
696745,0
697271,-8.14
697798,-4.07
698325,8.14
698851,0
699377,-8.14
699904,0
700430,-8.14
700957,0
701483,-8.14
702010,0
702536,-8.14
703063,0
703589,0
704115,-16.28
704643,0
705169,0
705695,-12.21
706223,0
706749,-4.07
707276,-16.28
707804,-8.14
708331,-16.28
708859,-16.28
709387,-24.41
709915,-24.41
710443,-32.55
710971,-16.28
711499,0
712025,0
712551,-8.14
713078,0
713604,0
714130,0
714656,0
715182,0
715708,-8.14
716235,-4.07
716762,0
717288,0
